flare_id,date,source,detector,flare_class,start_utc,peak_utc,end_utc,peak_counts,mean_counts,bg_at_peak,duration_sec,rise_time_sec,decay_time_sec,intensity_ratio
HEL_20260601_001,2026-06-01,HEL1OS,CdTe,X,2026-06-01 00:00:06.721,2026-06-01 05:18:27.721,2026-06-01 23:59:19.776,47.0,0.5744584733001274,1e-06,86330,19101,67229,47000000.0
HEL_20260602_001,2026-06-02,HEL1OS,CdTe,X,2026-06-02 00:00:07.780,2026-06-02 10:02:39.780,2026-06-02 11:59:37.780,1329.0,9.211350474866805,1e-06,43170,36152,7018,1329000000.0
HEL_20260603_001,2026-06-03,HEL1OS,CdTe,X,2026-06-03 00:00:09.782,2026-06-03 11:26:10.782,2026-06-03 23:59:36.732,12882.0,121.05435896241792,1e-06,85892,41161,44731,12882000000.0
HEL_20260605_001,2026-06-05,HEL1OS,CdTe,X,2026-06-05 00:00:07.761,2026-06-05 15:00:37.754,2026-06-05 23:59:41.055,182.0,0.9656138779732724,1e-06,129529,64842,64687,182000000.0
HEL_20260606_001,2026-06-06,HEL1OS,CdTe,X,2026-06-06 00:03:40.727,2026-06-06 13:22:49.752,2026-06-06 23:59:44.752,707.0,3.5732709541993604,1e-06,129103,90888,38215,707000000.0
HEL_20260607_001,2026-06-07,HEL1OS,CdTe,X,2026-06-07 00:00:08.739,2026-06-07 04:19:12.739,2026-06-07 23:59:44.770,265.0,1.2471135918844742,1e-06,86353,15544,70809,265000000.0
HEL_20260608_001,2026-06-08,HEL1OS,CdTe,X,2026-06-08 00:28:57.464,2026-06-08 02:48:12.891,2026-06-08 11:59:39.891,310.0,1.5515884986184345,1e-06,82877,16711,66166,310000000.0
HEL_20260609_001,2026-06-09,HEL1OS,CdTe,X,2026-06-09 00:00:12.771,2026-06-09 04:22:33.771,2026-06-09 11:59:41.771,608.0,2.3142532836062917,1e-06,43169,15741,27428,608000000.0
HEL_20260610_001,2026-06-10,HEL1OS,CdTe,X,2026-06-10 00:00:12.711,2026-06-10 00:59:08.711,2026-06-10 23:59:53.046,350.0,1.0880915447395294,1e-06,128287,3536,124751,350000000.0
HEL_20260611_001,2026-06-11,HEL1OS,CdTe,X,2026-06-11 00:00:07.098,2026-06-11 08:27:26.098,2026-06-11 11:59:37.098,1312.0,5.156497567755386,1e-06,43170,30439,12731,1312000000.0
HEL_20260612_001,2026-06-12,HEL1OS,CdTe,X,2026-06-12 00:00:11.744,2026-06-12 02:13:15.744,2026-06-12 23:59:38.771,458.0,0.837750185322461,1e-06,86336,7984,78352,458000000.0
HEL_20260613_001,2026-06-13,HEL1OS,CdTe,X,2026-06-13 00:00:18.947,2026-06-13 02:16:12.947,2026-06-13 23:59:32.504,92.0,0.700590756399861,1e-06,86330,8154,78176,92000000.0
HEL_20260614_001,2026-06-14,HEL1OS,CdTe,X,2026-06-14 00:00:12.921,2026-06-14 08:55:19.921,2026-06-14 23:59:39.789,79.0,0.6607252469800678,1e-06,86343,32107,54236,79000000.0
HEL_20260615_001,2026-06-15,HEL1OS,CdTe,X,2026-06-15 12:00:00.774,2026-06-15 18:50:29.774,2026-06-15 23:59:41.774,278.0,0.7842801232023343,1e-06,43181,24629,18552,278000000.0
HEL_20260616_001,2026-06-16,HEL1OS,CdTe,X,2026-06-16 00:00:06.783,2026-06-16 00:47:27.783,2026-06-16 11:59:28.783,43.0,0.6483944210184884,1e-06,43162,2841,40321,43000000.0
HEL_20260617_001,2026-06-17,HEL1OS,CdTe,X,2026-06-17 00:00:07.796,2026-06-17 15:04:23.582,2026-06-17 21:00:12.582,41.0,0.4162419427372208,1e-06,106736,64038,42698,41000000.0
HEL_20260617_002,2026-06-17,HEL1OS,CdTe,X,2026-06-17 22:10:30.783,2026-06-17 22:11:06.582,2026-06-17 23:59:43.783,13.0,0.44307950556996795,1e-06,13106,71,13035,13000000.0
HEL_20260618_001,2026-06-18,HEL1OS,CdTe,X,2026-06-18 00:00:06.839,2026-06-18 11:54:14.839,2026-06-18 23:59:41.764,143.0,0.7653182939398502,1e-06,86351,42848,43503,143000000.0
HEL_20260619_001,2026-06-19,HEL1OS,CdTe,X,2026-06-19 00:10:12.796,2026-06-19 07:12:33.496,2026-06-19 11:59:47.496,16.0,0.3120786450870311,1e-06,85142,50681,34461,16000000.0
HEL_20260620_001,2026-06-20,HEL1OS,CdTe,X,2026-06-20 00:00:09.706,2026-06-20 15:00:18.142,2026-06-20 23:59:26.142,1482.0,3.797396067720861,1e-06,128882,96534,32348,1482000000.0
